country,year,population,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
High-income countries,1779,,0.0,,15.535,0.292,1.914,,,,,,,,,,15.535,,,,,0.0,356.279,,356.279,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1780,182406971.0,0.0,0.0,15.879,0.343,2.211,,,,,,,0.074,,,15.879,0.074,,,,0.0,372.158,,372.158,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1781,,0.0,,16.234,0.356,2.24,,,,,,,,,,16.234,,,,,0.0,388.392,,388.392,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1782,,0.0,,16.581,0.347,2.135,,,,,,,,,,16.581,,,,,0.0,404.973,,404.973,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1783,,0.0,,17.063,0.482,2.906,,,,,,,,,,17.063,,,,,0.0,422.036,,422.036,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1784,,0.0,,17.471,0.408,2.393,,,,,,,,,,17.471,,,,,0.0,439.507,,439.507,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1785,184707909.0,0.0,,17.965,0.494,2.828,,,,,,,,,,17.965,,,,,0.0,457.472,,457.472,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1786,,0.0,,18.447,0.482,2.685,,,,,,,,,,18.447,,,,,0.0,475.92,,475.92,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1787,,0.0,,18.859,0.412,2.231,,,,,,,,,,18.859,,,,,0.0,494.779,,494.779,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1788,187008846.0,0.0,,19.286,0.427,2.265,,,,,,,,,,19.286,,,,,0.0,514.065,,514.065,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1789,,0.0,,19.863,0.577,2.993,,,,,,,,,,19.863,,,,,0.0,533.928,,533.928,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1790,189311610.0,0.0,0.0,20.398,0.535,2.692,,,,,,,0.092,,,20.398,0.092,,,,0.0,554.326,,554.326,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1791,,0.0,,20.932,0.534,2.616,,,,,,,,,,20.932,,,,,0.0,575.258,,575.258,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1792,,0.0,,21.929,0.997,4.765,,,,,,,,,,21.929,,,,,0.0,597.187,,597.187,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1793,,0.0,,22.297,0.368,1.678,,,,,,,,,,22.297,,,,,0.0,619.485,,619.485,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1794,,0.0,,22.52,0.222,0.997,,,,,,,,,,22.52,,,,,0.0,642.004,,642.004,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1795,,0.0,,22.315,-0.204,-0.908,,,,,,,,,,22.315,,,,,0.0,664.32,,664.32,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1796,,0.0,,22.121,-0.194,-0.869,,,,,,,,,,22.121,,,,,0.0,686.441,,686.441,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1797,,0.0,,22.09,-0.031,-0.141,,,,,,,,,,22.09,,,,,0.0,708.531,,708.531,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1798,,0.0,,23.106,1.016,4.599,,,,,,,,,,23.106,,,,,0.0,731.637,,731.637,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1799,,0.0,,27.485,4.379,18.953,,,,,,,,,,27.485,,,,,0.0,759.122,,759.122,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1800,193820447.0,0.0,0.0,32.798,5.313,19.331,,,,,,,0.144,,,32.798,0.144,,,,0.0,791.921,,791.921,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1801,195019865.0,0.0,0.0,31.986,-0.812,-2.477,,,,,,,0.14,,,31.986,0.14,,,,0.0,823.907,,823.907,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1802,196233023.0,0.0,0.0,40.31,8.324,26.025,,,,,,,0.176,,,40.31,0.176,,,,0.0,864.217,,864.217,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1803,197460101.0,0.0,0.0,29.539,-10.772,-26.723,,,,,,,0.128,,,29.539,0.128,,,,0.0,893.756,,893.756,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1804,198701294.0,0.0,0.0,31.769,2.231,7.552,,,,,,,0.137,,,31.769,0.137,,,,0.0,925.525,,925.525,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1805,199956784.0,0.0,0.0,31.252,-0.517,-1.628,,,,,,,0.134,,,31.252,0.134,,,,0.0,956.777,,956.777,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1806,201226776.0,0.0,0.0,32.705,1.453,4.649,,,,,,,0.14,,,32.705,0.14,,,,0.0,989.481,,989.481,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1807,202511474.0,0.0,0.0,36.201,3.496,10.69,,,,,,,0.154,,,36.201,0.154,,,,0.0,1025.682,,1025.682,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1808,203811072.0,0.0,0.0,35.498,-0.703,-1.942,,,,,,,0.15,,,35.498,0.15,,,,0.0,1061.18,,1061.18,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1809,205125781.0,0.0,0.0,36.334,0.836,2.355,,,,,,,0.153,,,36.334,0.153,,,,0.0,1097.513,,1097.513,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1810,206921602.0,0.0,0.0,39.492,3.158,8.693,,,,,,,0.165,,,39.492,0.165,,,,0.0,1137.006,,1137.006,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1811,208737995.0,0.0,0.0,40.177,0.684,1.733,,,,,,,0.166,,,40.177,0.166,,,,0.0,1177.182,,1177.182,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1812,210746653.0,0.0,0.0,40.815,0.638,1.588,,,,,,,0.167,,,40.815,0.167,,,,0.0,1217.997,,1217.997,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1813,212958674.0,0.0,0.0,41.206,0.392,0.96,,,,,,,0.168,,,41.206,0.168,,,,0.0,1259.203,,1259.203,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1814,215238746.0,0.0,0.0,42.227,1.021,2.477,,,,,,,0.17,,,42.227,0.17,,,,0.0,1301.43,,1301.43,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1815,217590084.0,0.0,0.0,43.587,1.361,3.222,,,,,,,0.174,,,43.587,0.174,,,,0.0,1345.017,,1345.017,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1816,220016081.0,0.0,0.0,45.497,1.909,4.38,,,,,,,0.18,,,45.497,0.18,,,,0.0,1390.514,,1390.514,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1817,222520301.0,0.0,0.0,49.276,3.779,8.307,,,,,,,0.193,,,49.276,0.193,,,,0.0,1439.79,,1439.79,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1818,225106512.0,0.0,0.0,51.392,2.116,4.294,,,,,,,0.199,,,51.392,0.199,,,,0.0,1491.182,,1491.182,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1819,227581622.0,0.0,0.0,50.93,-0.462,-0.899,,,,,,,0.195,,,50.93,0.195,,,,0.0,1542.112,,1542.112,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1820,229934936.0,0.0,0.0,50.733,-0.197,-0.387,,,,,,,0.192,0.132,,50.733,0.192,,,,0.0,1592.845,,1592.845,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1821,232154877.0,0.0,0.0,52.059,1.326,2.614,,,,,,,0.196,0.172,,52.059,0.196,,,,0.0,1644.904,,1644.904,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1822,234229618.0,0.0,0.0,54.022,1.962,3.769,,,,,,,0.201,0.177,,54.022,0.201,,,,0.0,1698.926,,1698.926,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1823,236146246.0,0.0,0.0,56.358,2.336,4.324,,,,,,,0.208,0.181,,56.358,0.208,,,,0.0,1755.284,,1755.284,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1824,238088348.0,0.0,0.0,57.584,1.226,2.175,,,,,,,0.211,0.178,,57.584,0.211,,,,0.0,1812.867,,1812.867,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1825,240060059.0,0.0,0.0,60.731,3.147,5.465,,,,,,,0.221,0.187,,60.731,0.221,,,,0.0,1873.598,,1873.598,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1826,242106461.0,0.0,0.0,61.382,0.651,1.072,,,,,,,0.222,0.188,,61.382,0.222,,,,0.0,1934.98,,1934.98,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1827,244180604.0,0.0,0.0,65.739,4.356,7.097,,,,,,,0.235,0.198,,65.739,0.235,,,,0.0,2000.719,,2000.719,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1828,246283005.0,0.0,0.0,66.682,0.943,1.435,,,,,,,0.237,0.2,,66.682,0.237,,,,0.0,2067.401,,2067.401,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1829,248367313.0,0.0,0.0,66.307,-0.374,-0.561,,,,,,,0.233,0.196,,66.307,0.233,,,,0.0,2133.708,,2133.708,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1830,250433156.0,0.0,0.0,88.982,22.674,34.196,,,,,,,0.311,0.25,,88.982,0.311,,,,0.0,2222.69,,2222.69,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,99.993,,99.993,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1831,252439610.0,0.0,0.0,83.243,-5.739,-6.45,,,,,,,0.288,0.236,,83.243,0.288,,,,0.0,2305.933,,2305.933,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,99.99,,99.99,,99.999,,99.999,,,,,,,,,,,,,,,,,,,
High-income countries,1832,254425705.0,0.0,0.0,82.086,-1.156,-1.389,,,,,,,0.282,0.225,,82.086,0.282,,,,0.0,2388.019,,2388.019,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,99.994,,99.994,,99.999,,99.999,,,,,,,,,,,,,,,,,,,
